Years,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Democracy index (EIU),Electoral pluralism index (EIU),Government index (EIU),Political participation index(EIU),Political culture index (EIU),Civil liberties index (EIU),Population,Total CO2 ,CO2 relative growth,CO2 absolute Growth,CO2 per capita,Cumulative CO2 (metric tons),Peace index
2017,Norway,1,"7,537000179","1,616463184","1,533523560","0,796666503","0,635422587","0,315963835","0,362012237","98,7",100,"96,4",100,100,"97,1",5276968,"43,563","-2,047","-0,91","8,226","2512,995","1,483"
2017,Norway,1,"7,537000179","1,616463184","1,533523560","0,796666503","0,635422587","0,315963835","0,362012237","98,7",100,"96,4",100,100,"97,1",5276968,"43,563","-2,047","-0,91","8,226","2512,995","1,488"
2017,Norway,1,"7,537000179","1,616463184","1,533523560","0,796666503","0,635422587","0,315963835","0,362012237","98,7",100,"96,4",100,100,"97,1",5276968,"43,563","-2,047","-0,91","8,226","2512,995","1,504"
2017,Norway,1,"7,537000179","1,616463184","1,533523560","0,796666503","0,635422587","0,315963835","0,362012237","98,7",100,"96,4",100,100,"97,1",5276968,"43,563","-2,047","-0,91","8,226","2512,995","1,515"
2017,Norway,1,"7,537000179","1,616463184","1,533523560","0,796666503","0,635422587","0,315963835","0,362012237","98,7",100,"96,4",100,100,"97,1",5276968,"43,563","-2,047","-0,91","8,226","2512,995","1,536"
2017,Denmark,2,"7,521999836","1,482383013","1,551121593","0,792565525","0,626006722","0,400770068","0,355280489","92,2",100,"92,9","83,3","93,8","91,2",5764980,"34,722","-6,128","-2,267","6,058","3990,421","1,179"
2017,Denmark,2,"7,521999836","1,482383013","1,551121593","0,792565525","0,626006722","0,400770068","0,355280489","92,2",100,"92,9","83,3","93,8","91,2",5764980,"34,722","-6,128","-2,267","6,058","3990,421","1,201"
2017,Denmark,2,"7,521999836","1,482383013","1,551121593","0,792565525","0,626006722","0,400770068","0,355280489","92,2",100,"92,9","83,3","93,8","91,2",5764980,"34,722","-6,128","-2,267","6,058","3990,421","1,299"
2017,Denmark,2,"7,521999836","1,482383013","1,551121593","0,792565525","0,626006722","0,400770068","0,355280489","92,2",100,"92,9","83,3","93,8","91,2",5764980,"34,722","-6,128","-2,267","6,058","3990,421","1,313"
2017,Denmark,2,"7,521999836","1,482383013","1,551121593","0,792565525","0,626006722","0,400770068","0,355280489","92,2",100,"92,9","83,3","93,8","91,2",5764980,"34,722","-6,128","-2,267","6,058","3990,421","1,316"
2017,Iceland,3,"7,504000187","1,480633020","1,610574007","0,833552122","0,627162635","0,153526559","0,475540221","95,8",100,"92,9","88,9",100,"97,1",343400,"3,615","3,355","0,117","10,823","142,015","1,142"
2017,Iceland,3,"7,504000187","1,480633020","1,610574007","0,833552122","0,627162635","0,153526559","0,475540221","95,8",100,"92,9","88,9",100,"97,1",343400,"3,615","3,355","0,117","10,823","142,015","1,138"
2017,Iceland,3,"7,504000187","1,480633020","1,610574007","0,833552122","0,627162635","0,153526559","0,475540221","95,8",100,"92,9","88,9",100,"97,1",343400,"3,615","3,355","0,117","10,823","142,015","1,084"
2017,Iceland,3,"7,504000187","1,480633020","1,610574007","0,833552122","0,627162635","0,153526559","0,475540221","95,8",100,"92,9","88,9",100,"97,1",343400,"3,615","3,355","0,117","10,823","142,015","1,096"
2017,Iceland,3,"7,504000187","1,480633020","1,610574007","0,833552122","0,627162635","0,153526559","0,475540221","95,8",100,"92,9","88,9",100,"97,1",343400,"3,615","3,355","0,117","10,823","142,015","1,072"
2017,Switzerland,4,"7,493999958","1,564979553","1,516911745","0,858131289","0,620070577","0,367007285","0,290549278","90,3","95,8","92,9","77,8","93,8","91,2",8451840,"38,182","-2,578","-1,01","4,515","2916,84","1,443"
2017,Switzerland,4,"7,493999958","1,564979553","1,516911745","0,858131289","0,620070577","0,367007285","0,290549278","90,3","95,8","92,9","77,8","93,8","91,2",8451840,"38,182","-2,578","-1,01","4,515","2916,84","1,369"
2017,Switzerland,4,"7,493999958","1,564979553","1,516911745","0,858131289","0,620070577","0,367007285","0,290549278","90,3","95,8","92,9","77,8","93,8","91,2",8451840,"38,182","-2,578","-1,01","4,515","2916,84","1,368"
2017,Switzerland,4,"7,493999958","1,564979553","1,516911745","0,858131289","0,620070577","0,367007285","0,290549278","90,3","95,8","92,9","77,8","93,8","91,2",8451840,"38,182","-2,578","-1,01","4,515","2916,84","1,379"
2017,Switzerland,4,"7,493999958","1,564979553","1,516911745","0,858131289","0,620070577","0,367007285","0,290549278","90,3","95,8","92,9","77,8","93,8","91,2",8451840,"38,182","-2,578","-1,01","4,515","2916,84","1,375"
2017,Finland,5,"7,468999863","1,443571925","1,540246725","0,809157670","0,617950857","0,382611543","0,245482773","90,3",100,"89,3","77,8","87,5","97,1",5508214,"44,673","-5,409","-2,554","8,106","3063,421","1,399"
2017,Finland,5,"7,468999863","1,443571925","1,540246725","0,809157670","0,617950857","0,382611543","0,245482773","90,3",100,"89,3","77,8","87,5","97,1",5508214,"44,673","-5,409","-2,554","8,106","3063,421","1,447"
2017,Finland,5,"7,468999863","1,443571925","1,540246725","0,809157670","0,617950857","0,382611543","0,245482773","90,3",100,"89,3","77,8","87,5","97,1",5508214,"44,673","-5,409","-2,554","8,106","3063,421","1,527"
2017,Finland,5,"7,468999863","1,443571925","1,540246725","0,809157670","0,617950857","0,382611543","0,245482773","90,3",100,"89,3","77,8","87,5","97,1",5508214,"44,673","-5,409","-2,554","8,106","3063,421","1,505"
2017,Finland,5,"7,468999863","1,443571925","1,540246725","0,809157670","0,617950857","0,382611543","0,245482773","90,3",100,"89,3","77,8","87,5","97,1",5508214,"44,673","-5,409","-2,554","8,106","3063,421","1,488"
2017,Netherlands,6,"7,376999855","1,503944635","1,428939223","0,810696125","0,585384488","0,282661825","0,470489830","88,9","95,8","92,9","83,3","81,3","91,2",17131296,"164,445","-1,105","-1,837","9,661","11311,643","1,527"
2017,Netherlands,6,"7,376999855","1,503944635","1,428939223","0,810696125","0,585384488","0,282661825","0,470489830","88,9","95,8","92,9","83,3","81,3","91,2",17131296,"164,445","-1,105","-1,837","9,661","11311,643","1,526"
2017,Netherlands,6,"7,376999855","1,503944635","1,428939223","0,810696125","0,585384488","0,282661825","0,470489830","88,9","95,8","92,9","83,3","81,3","91,2",17131296,"164,445","-1,105","-1,837","9,661","11311,643","1,54"
2017,Netherlands,6,"7,376999855","1,503944635","1,428939223","0,810696125","0,585384488","0,282661825","0,470489830","88,9","95,8","92,9","83,3","81,3","91,2",17131296,"164,445","-1,105","-1,837","9,661","11311,643","1,528"
2017,Netherlands,6,"7,376999855","1,503944635","1,428939223","0,810696125","0,585384488","0,282661825","0,470489830","88,9","95,8","92,9","83,3","81,3","91,2",17131296,"164,445","-1,105","-1,837","9,661","11311,643","1,53"
2017,Canada,7,"7,315999985","1,479204416","1,481348991","0,834557652","0,611100912","0,287371516","0,435539722","91,5","95,8","96,4","77,8","87,5",100,36543321,"572,834","1,561","8,802","15,595","31950,383","1,337"
2017,Canada,7,"7,315999985","1,479204416","1,481348991","0,834557652","0,611100912","0,287371516","0,435539722","91,5","95,8","96,4","77,8","87,5",100,36543321,"572,834","1,561","8,802","15,595","31950,383","1,337"
2017,Canada,7,"7,315999985","1,479204416","1,481348991","0,834557652","0,611100912","0,287371516","0,435539722","91,5","95,8","96,4","77,8","87,5",100,36543321,"572,834","1,561","8,802","15,595","31950,383","1,332"
2017,Canada,7,"7,315999985","1,479204416","1,481348991","0,834557652","0,611100912","0,287371516","0,435539722","91,5","95,8","96,4","77,8","87,5",100,36543321,"572,834","1,561","8,802","15,595","31950,383","1,338"
2017,Canada,7,"7,315999985","1,479204416","1,481348991","0,834557652","0,611100912","0,287371516","0,435539722","91,5","95,8","96,4","77,8","87,5",100,36543321,"572,834","1,561","8,802","15,595","31950,383","1,327"
2017,New Zealand,8,"7,314000130","1,405706048","1,548195124","0,816759706","0,614062130","0,382816702","0,500005126","92,6",100,"92,9","88,9","81,3",100,4793900,"36,153","5,503","1,886","7,689","1777,488","1,263"
2017,New Zealand,8,"7,314000130","1,405706048","1,548195124","0,816759706","0,614062130","0,382816702","0,500005126","92,6",100,"92,9","88,9","81,3",100,4793900,"36,153","5,503","1,886","7,689","1777,488","1,238"
